1-(2793,2589),(3145,2581),(3153,3069),(2793,3069)
2-(2481,2885),(2729,2853),(2729,3205),(2521,3205)
3-(2081,2941),(2433,2949),(2441,3389),(2065,3389)
4-(2153,3649),(2473,3625),(2473,4081),(2153,4073)
5-(2513,3865),(2881,3865),(2849,4225),(2513,4225)
6-(2921,4033),(3241,4033),(3241,4497),(2889,4489)
7-(3257,4201),(3625,4201),(3625,4649),(3249,4641)
8-(3633,4369),(4041,4369),(4041,4873),(3641,4865)
9-(4377,4417),(4785,4409),(4793,4809),(4377,4801)
10-(4857,4153),(5113,4153),(5113,4633),(4849,4641)
11-(5233,3873),(5593,3881),(5601,4417),(5225,4417)
12-(4465,3249),(4833,3233),(4825,3633),(4457,3633)
13-(4089,3137),(4433,3145),(4425,3441),(4097,3425)
14-(3817,2961),(4065,2945),(3273,4065),(3825,3273)
